1,67285386,56,Volvo,M14,2007
2,79089756,29,Mercedes,M3,2002
3,79959082,46,Mercedes,M12,2001
4,31821216,8,MAN,M10,2007
5,58945813,22,MAN,M10,1993
6,33021338,46,MAN,M11,2001
7,56886698,45,Scania,M7,1980
8,92151208,41,Scania,M5,2009
9,53977824,25,MAN,M9,2009
10,55040751,36,Iveco,M3,1989
11,98618830,40,MAN,M12,2010
12,66721855,44,Scania,M8,2005
13,17267430,56,Scania,M5,2012
14,78109516,42,Mercedes,M6,2001
15,86913565,18,MAN,M5,2004
16,19269839,12,Mercedes,M7,1995
17,82973645,44,Iveco,M3,1987
18,95036844,18,Scania,M4,1999
19,97143376,44,MAN,M10,1993
20,25745647,53,Iveco,M13,1994
21,47547423,11,Scania,M8,1995
22,57442297,20,MAN,M6,2012
23,54546025,34,MAN,M11,2008
24,58579999,53,Iveco,M6,2000
25,75498499,17,Scania,M14,2006
26,27637723,5,MAN,M13,2003
27,76996098,38,MAN,M11,1999
28,41862171,15,Mercedes,M10,1995
29,72618616,28,Scania,M6,2006
30,76576802,36,Volvo,M6,2001
31,98526299,24,Scania,M9,1994
32,12131202,4,Mercedes,M6,2004
33,53323633,38,Mercedes,M13,2005
34,59518038,40,Volvo,M2,2008
35,85932522,24,Volvo,M8,1994
36,77306412,35,Mercedes,M14,2006
37,53895929,33,MAN,M5,1984
38,88119694,36,Scania,M14,1985
39,58981056,41,Mercedes,M13,2008
40,39012377,4,MAN,M3,1995
41,41251543,41,Volvo,M13,1994
42,50005638,29,Scania,M13,1985
43,73979644,4,Mercedes,M6,2001
44,62766647,55,MAN,M9,2004
45,90851499,23,Volvo,M6,2009
46,11597512,11,Iveco,M12,1996
47,24711655,53,Iveco,M8,2012
48,67241809,41,Volvo,M6,1992
49,88225677,53,Mercedes,M10,1997
50,62428710,56,Scania,M9,2006
51,73869092,46,Scania,M4,1995
52,32147735,12,MAN,M8,1993
53,63473236,30,Scania,M7,1984
54,32592790,25,Scania,M10,2007
55,83421405,28,MAN,M13,2006
56,55795074,19,MAN,M9,2002
57,41080987,35,Mercedes,M14,2007
58,76032214,19,Mercedes,M2,1993
59,65978524,24,Iveco,M5,2012
60,45685130,40,Iveco,M6,1992
61,75318339,34,Volvo,M8,2004
62,50613029,28,Scania,M5,2006
63,23507614,50,Volvo,M1,1986
64,38479648,36,Mercedes,M2,2004
65,54826216,13,Volvo,M13,2010
66,71653229,10,Volvo,M9,2004
67,28705430,22,Volvo,M12,2006
68,89337876,47,Iveco,M5,1997
69,73251046,12,Volvo,M5,1991
70,63713270,38,Iveco,M13,1990
71,94069373,12,Scania,M1,2007
72,23018726,36,Iveco,M5,2009
73,51698385,11,Mercedes,M4,1994
74,55394973,24,Volvo,M3,2008
75,59617902,46,Mercedes,M2,2009
76,17182552,30,Volvo,M5,2010
77,57225955,15,Volvo,M6,1991
78,64215025,30,Volvo,M9,1998
79,87233493,18,Volvo,M13,2005
80,98835368,24,Volvo,M9,2009
81,61740704,20,MAN,M5,2006
82,85480697,24,Volvo,M10,1995
83,85527924,53,Volvo,M1,2005
84,12832461,38,Mercedes,M5,1991
85,10865933,37,Mercedes,M9,1995
86,93628971,40,Volvo,M14,1990
87,51662241,3,MAN,M10,2007
88,16997686,6,Scania,M6,1999
89,80094882,49,Scania,M4,2000
90,73574753,39,Scania,M5,1993
91,48625480,9,Volvo,M8,1984
92,70084621,7,MAN,M7,1999
93,48651751,19,Volvo,M13,2005
